,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
100,5.16347469,0.50084546,0.50084546,0.44050344,201.33595518,10.40080580,0.50391863,0.50391863,0.41780806,187.26512811,10.14497167
200,5.15558369,0.33182300,0.33182300,0.34123275,129.98032601,7.79050860,0.34258267,0.34258267,0.34631850,131.14822266,8.45614121
300,5.15598098,0.25835923,0.25835923,0.28743074,97.44580396,6.54656392,0.27544372,0.27544372,0.30643491,104.65132146,7.62701679
400,5.17332385,0.22073671,0.22073671,0.25902482,80.86081121,5.89223621,0.24175877,0.24175877,0.28625358,91.38265627,7.21737740
500,5.17155377,0.19740877,0.19740877,0.24064569,70.45926630,5.47130559,0.22166529,0.22166529,0.27421594,83.46285131,6.98568495
600,5.17193334,0.18142392,0.18142392,0.22786603,63.30612723,5.17235145,0.20828720,0.20828720,0.26642229,78.14298829,6.83407921
700,5.17650248,0.16991627,0.16991627,0.21843144,58.20149508,4.95548157,0.19897972,0.19897972,0.26117424,74.50946096,6.73846190
800,5.17526645,0.16113825,0.16113825,0.21102119,54.31686131,4.78739341,0.19231171,0.19231171,0.25769272,72.01998157,6.68380381
900,5.17830885,0.15421645,0.15421645,0.20510902,51.23665364,4.65193737,0.18738961,0.18738961,0.25538786,70.24370148,6.65391356
1000,5.17967389,0.14868418,0.14868418,0.20039140,48.78051958,4.54357348,0.18374106,0.18374106,0.25404880,69.01272172,6.64523402
1100,5.17125688,0.14398803,0.14398803,0.19616958,46.67112285,4.44799174,0.18074741,0.18074741,0.25291898,67.98184828,6.63781400
1200,5.17235354,0.14014681,0.14014681,0.19291089,44.97128737,4.37103924,0.17839709,0.17839709,0.25230170,67.20387925,6.63805657
1300,5.17000922,0.13679428,0.13679428,0.18983998,43.48257167,4.30291467,0.17648691,0.17648691,0.25176818,66.64981990,6.64455079
1400,5.16882415,0.13395252,0.13395252,0.18730638,42.21900339,4.24502545,0.17486800,0.17486800,0.25137392,66.18907252,6.65091453
1500,5.17250772,0.13145877,0.13145877,0.18500614,41.12730867,4.19366739,0.17353652,0.17353652,0.25110381,65.83915204,6.66025154
1600,5.17113634,0.12917245,0.12917245,0.18287207,40.09273084,4.14447057,0.17234935,0.17234935,0.25088972,65.50211926,6.66749898
1700,5.17032359,0.12721245,0.12721245,0.18109517,39.22218977,4.10297514,0.17129326,0.17129326,0.25067973,65.18642211,6.67315618
1800,5.17004583,0.13405039,0.13405039,0.18731054,42.99371674,4.23884072,0.17726509,0.17726509,0.25439923,67.86469772,6.74364062
1900,5.17109997,0.13245309,0.13245309,0.18611806,42.23280719,4.21304704,0.17653609,0.17653609,0.25469964,67.83811604,6.76656123
2000,5.16950805,0.13079844,0.13079844,0.18465891,41.45419806,4.18126578,0.17566304,0.17566304,0.25460294,67.66228231,6.77770338
2100,5.17021023,0.12925088,0.12925088,0.18327201,40.73350133,4.15035170,0.17492785,0.17492785,0.25463228,67.53732923,6.79117672
