,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
100,5.18405175,0.53368660,0.53368660,0.46048220,217.98685912,10.97845049,0.53281164,0.53281164,0.44991915,211.06436440,10.75249791
200,5.18340167,0.36148942,0.36148942,0.36418021,146.08215323,8.24943987,0.36300232,0.36300232,0.36414892,145.84456037,8.48707184
300,5.21243138,0.27879191,0.27879191,0.30380416,108.72255282,6.88535155,0.28806653,0.28806653,0.31657577,114.16964842,7.59887922
400,5.19692967,0.23606511,0.23606511,0.27150421,89.36023995,6.15076489,0.25135132,0.25135132,0.29401008,98.72795589,7.19915389
500,5.18728938,0.20992004,0.20992004,0.25102240,77.40983015,5.68995022,0.22926062,0.22926062,0.28021873,89.34253061,6.96149268
600,5.17761177,0.19231133,0.19231133,0.23706543,69.37790741,5.37341895,0.21475665,0.21475665,0.27143609,83.23290615,6.81721709
700,5.17031643,0.17947951,0.17947951,0.22666820,63.48959170,5.13713165,0.20452913,0.20452913,0.26544453,78.90785128,6.72189319
800,5.16774353,0.19735737,0.19735737,0.24135052,70.67652737,5.38356100,0.22147061,0.22147061,0.27459057,82.89099976,6.83970914
900,5.17132527,0.19475812,0.19475812,0.24268101,70.20055462,5.37751282,0.21746576,0.21746576,0.27460793,82.22286969,6.80201453
1000,5.17122568,0.18607047,0.18607047,0.23555593,66.21274757,5.23110761,0.20962533,0.20962533,0.26938737,79.00835345,6.71608981
1100,5.17498987,0.17862605,0.17862605,0.22930318,62.84281285,5.09855243,0.20345103,0.20345103,0.26556777,76.54234327,6.65883138
1200,5.17550746,0.17218403,0.17218403,0.22366007,59.89077714,4.97865472,0.19838008,0.19838008,0.26243792,74.54972439,6.61753480
1300,5.17731720,0.16670412,0.16670412,0.21883937,57.38705738,4.87558381,0.19414877,0.19414877,0.25990358,72.89818990,6.58528246
1400,5.17909196,0.16190940,0.16190940,0.21457177,55.18910045,4.78371649,0.19045223,0.19045223,0.25765882,71.44485572,6.55422849
1500,5.18136135,0.15767304,0.15767304,0.21070115,53.26842090,4.70115857,0.18726831,0.18726831,0.25569469,70.21960313,6.53005726
1600,5.17806786,0.15389193,0.15389193,0.20720196,51.53677626,4.62525563,0.18438321,0.18438321,0.25383291,69.05552774,6.50358902
1700,5.17943660,0.15059361,0.15059361,0.20417317,50.04241846,4.56022936,0.18186190,0.18186190,0.25221425,68.07273945,6.48205768
1800,5.17879130,0.14762125,0.14762125,0.20139791,48.69912153,4.49994205,0.17968865,0.17968865,0.25088181,67.23947084,6.46600986
1900,5.17791950,0.14498314,0.14498314,0.19897634,47.49763011,4.44699489,0.17779632,0.17779632,0.24980536,66.51855653,6.45366549
2000,5.17462160,0.14256010,0.14256010,0.19668153,46.39082789,4.39721345,0.17614148,0.17614148,0.24887654,65.89412826,6.44562647
2100,5.17767165,0.14038650,0.14038650,0.19463861,45.41174050,4.35291263,0.17463139,0.17463139,0.24802747,65.32519203,6.43719940
2200,5.18010071,0.13837270,0.13837270,0.19277398,44.49297997,4.31128331,0.17323652,0.17323652,0.24726864,64.78137496,6.42854837
2300,5.18158082,0.13653592,0.13653592,0.19098994,43.67481632,4.27354079,0.17207425,0.17207425,0.24666676,64.38427589,6.42684784
2400,5.18126320,0.13479425,0.13479425,0.18927802,42.87361588,4.23678344,0.17089120,0.17089120,0.24597447,63.91855003,6.41917513
2500,5.18073169,0.13321179,0.13321179,0.18776083,42.15808491,4.20343403,0.16980202,0.16980202,0.24533306,63.49930070,6.41204155
2600,5.18162582,0.13174836,0.13174836,0.18635509,41.49336648,4.17272515,0.16878046,0.16878046,0.24470194,63.10632039,6.40501414
